sample,dada2_input,filtered,nonchim,final_perc_reads_retained,dada2_input,filtered,nonchim,final_perc
72-CPR_4_ID_1_,196923,166713,164208,83.4,35382,33909,31733,89.7
73-CPR_4_ID_3_,213738,175220,171992,80.5,156704,143311,131255,83.8
74-CPR_4_ID_4_,205473,178940,176603,85.9,112970,109524,103878,92
75-CPR_4_ID_5_,189932,165289,163135,85.9,35141,33968,31796,90.5
76-CPR_4_ID_7_,197530,166801,164410,83.2,194218,185074,176431,90.8
77-CPR_4_ID_8_,235558,194621,191317,81.2,113842,110778,103904,91.3
78-CPR_4_ID_9_,230985,193352,189591,82.1,176304,168346,160614,91.1
79-CPR_4_ID_11_,218815,181431,177308,81,98280,90284,84739,86.2
80-CPR_4_ID_12_,214875,172492,168539,78.4,43775,42215,40632,92.8
81-CPR_4_ID_13_,206448,170783,162683,78.8,343639,332962,312529,90.9
82-CPR_4_ID_15_,193011,156690,150368,77.9,262846,253570,243480,92.6
83-CPR_4_ID_16_,162913,125167,122596,75.3,11798,11246,10326,87.5
84-CPR_4_ID_17_,142434,107027,105677,74.2,102915,98756,94552,91.9
85-CPR_4_ID_19_,228236,196262,193991,85,185461,180209,167045,90.1
